2017-05-10		19890.56	19938.53	19866.30	19900.09	
2017-05-09		19915.64	19917.45	19838.71	19843.00	
2017-05-08		19709.01	19929.48	19705.13	19895.70	
2017-05-02		19335.72	19464.30	19335.02	19445.70	
2017-05-01		19154.03	19311.21	19144.62	19310.52	
2017-04-28		19240.65	19264.57	19164.68	19196.74	
2017-04-27		19205.59	19281.70	19199.59	19251.87	
2017-04-26		19184.92	19289.43	19170.86	19289.43	
2017-04-25		18872.56	19109.76	18867.19	19079.33	
2017-04-24		18890.38	18910.33	18840.13	18875.88	
2017-04-21		18591.82	18648.28	18542.42	18620.75	
2017-04-20		18446.39	18523.40	18420.82	18430.49	
2017-04-19		18327.33	18467.73	18327.33	18432.20	
2017-04-18		18497.38	18547.46	18362.73	18418.59	
2017-04-17		18239.84	18361.44	18224.68	18355.26	
2017-04-14		18531.91	18531.91	18285.73	18335.63	
2017-04-13		18391.72	18455.25	18304.72	18426.84	
2017-04-12		18592.10	18602.50	18460.59	18552.61	
2017-04-11		18717.55	18767.70	18661.86	18747.87	
2017-04-10		18800.22	18850.80	18762.70	18797.88	
2017-04-07		18714.98	18785.73	18517.43	18664.63	
2017-04-06		18754.37	18797.44	18532.65	18597.06	
2017-04-05		18900.70	18941.94	18773.94	18861.27	
2017-04-04		18933.82	18947.33	18703.63	18810.25	
2017-04-03		18988.00	19068.62	18920.52	18983.23	
2017-03-31		19170.42	19210.92	18909.26	18909.26	
2017-03-30		19150.82	19218.08	19043.48	19063.22	
2017-03-29		19216.78	19251.30	19164.61	19217.48	
2017-03-28		19159.07	19203.64	19113.44	19202.87	
2017-03-27		19071.19	19086.89	18932.09	18985.59	
2017-03-24		19066.35	19296.05	19060.64	19262.53	
2017-03-23		19048.84	19105.11	18973.75	19085.31	
2017-03-22		19146.62	19183.27	19026.53	19041.38	
2017-03-21		19416.55	19485.14	19337.22	19455.88	
2017-03-17		19510.89	19547.51	19487.92	19521.59	
2017-03-16		19458.70	19618.99	19454.17	19590.14	
2017-03-15		19528.75	19581.53	19503.74	19577.38	
2017-03-14		19634.29	19637.55	19599.62	19609.50	
2017-03-13		19545.74	19656.48	19531.51	19633.75	
2017-03-10		19444.71	19623.72	19427.81	19604.61	
2017-03-09		19343.06	19350.20	19262.98	19318.58	
2017-03-08		19308.53	19326.40	19198.78	19254.03	
2017-03-07		19337.19	19375.09	19317.10	19344.15	
2017-03-06		19409.18	19411.54	19340.32	19379.14	
2017-03-03		19551.34	19587.79	19392.75	19469.17	
2017-03-02		19624.82	19668.01	19564.80	19564.80	
2017-03-01		19226.94	19414.55	19164.62	19393.54	
2017-02-28		19194.68	19267.99	19118.99	19118.99	
2017-02-27		19130.51	19178.99	18995.55	19107.47	
2017-02-24		19232.11	19381.10	19219.58	19283.54	
2017-02-23		19379.92	19379.92	19262.63	19371.46	
2017-02-22		19419.22	19419.22	19329.28	19379.87	
2017-02-21		19267.87	19395.35	19261.98	19381.44	
2017-02-20		19161.33	19274.75	19115.11	19251.08	
2017-02-17		19228.74	19275.39	19173.53	19234.62	
2017-02-16		19431.61	19431.61	19260.24	19347.53	
2017-02-15		19438.81	19495.62	19420.00	19437.98	
2017-02-14		19478.86	19501.01	19232.85	19238.98	
2017-02-13		19513.78	19519.44	19418.18	19459.15	
2017-02-10		19216.74	19395.99	19193.57	19378.93	
2017-02-09		18942.04	18991.23	18874.91	18907.67	
2017-02-08		18951.16	19009.24	18875.57	19007.60	
2017-02-07		18844.12	18970.58	18805.32	18910.78	
2017-02-06		19069.72	19075.57	18899.40	18976.71	
2017-02-03		18996.74	19061.26	18830.89	18918.20	
2017-02-02		19152.79	19170.63	18866.80	18914.58	
2017-02-01		18926.97	19155.79	18916.18	19148.08	
2017-01-31		19145.35	19199.75	19041.34	19041.34	
2017-01-30		19371.28	19390.97	19295.80	19368.85	
2017-01-27		19453.51	19486.68	19404.13	19467.40	
2017-01-26		19260.67	19405.23	19232.46	19402.39	
2017-01-25		19091.23	19133.18	18987.45	19057.50	
2017-01-24		18817.42	18915.70	18783.16	18787.99	
2017-01-23		18938.45	19024.21	18879.68	18891.03	
2017-01-20		19059.15	19176.86	19040.20	19137.91	
2017-01-19		19082.83	19122.39	18982.13	19072.25	
2017-01-18		18753.96	18941.24	18650.33	18894.37	
2017-01-17		19038.45	19043.91	18812.86	18813.53	
2017-01-16		19219.13	19255.41	19061.27	19095.24	
2017-01-13		19174.97	19299.36	19156.93	19287.28	
2017-01-12		19300.19	19300.19	19069.02	19134.70	
2017-01-11		19358.64	19402.17	19325.46	19364.67	
2017-01-10		19414.83	19484.90	19255.35	19301.44	
2017-01-06		19393.55	19472.37	19354.44	19454.33	
2017-01-05		19602.10	19615.40	19473.28	19520.69	
2017-01-04		19298.68	19594.16	19277.93	19594.16	
2016-12-30		18997.68	19176.81	18991.59	19114.37	
2016-12-29		19301.04	19301.04	19092.22	19145.14	
2016-12-28		19392.11	19442.13	19364.73	19401.72	
2016-12-27		19353.43	19478.58	19352.06	19403.06	
2016-12-26		19394.41	19432.48	19385.94	19396.64	
2016-12-22		19396.85	19427.67	19327.51	19427.67	
2016-12-21		19547.28	19592.90	19375.19	19444.49	
2016-12-20		19367.84	19511.20	19356.81	19494.53	
2016-12-19		19345.84	19399.26	19307.14	19391.60	
2016-12-16		19438.39	19439.97	19360.36	19401.15	
2016-12-15		19327.70	19436.90	19192.60	19273.79	
2016-12-14		19270.01	19284.28	19184.75	19253.61	
2016-12-13		19120.76	19253.51	19060.72	19250.52	
2016-12-12		19183.82	19280.93	19054.00	19155.03	
2016-12-09		18839.98	19042.48	18821.41	18996.37	
2016-12-08		18674.19	18765.47	18614.01	18765.47	
2016-12-07		18434.54	18502.47	18410.88	18496.69	
2016-12-06		18457.20	18484.80	18318.99	18360.54	
2016-12-05		18349.92	18365.74	18227.39	18274.99	
2016-12-02		18435.55	18469.68	18315.38	18426.08	
2016-12-01		18535.24	18746.28	18469.27	18513.12	
2016-11-30		18356.03	18370.31	18280.66	18308.48	
2016-11-29		18263.63	18327.51	18258.82	18307.04	
2016-11-28		18302.58	18374.93	18222.82	18356.89	
2016-11-25		18387.59	18482.94	18288.50	18381.22	
2016-11-24		18329.78	18382.72	18310.31	18333.41	
2016-11-22		18091.05	18175.63	18050.55	18162.94	
2016-11-21		18038.09	18129.03	18007.79	18106.02	
2016-11-18		18024.21	18043.72	17967.41	17967.41	
2016-11-17		17766.61	17884.06	17764.08	17862.63	
2016-11-16		17832.51	17886.44	17807.47	17862.21	
2016-11-15		17690.22	17727.58	17605.77	17668.15	
2016-11-14		17467.49	17697.33	17455.78	17672.62	
2016-11-11		17526.61	17621.73	17333.49	17374.79	
2016-11-10		16562.86	17393.82	16560.66	17344.42	
2016-11-09		17281.95	17427.71	16111.81	16251.54	
2016-11-08		17242.70	17247.04	17130.83	17171.38	
2016-11-07		17126.03	17186.89	17056.84	17177.21	
2016-11-04		16964.50	16996.09	16801.98	16905.36	
2016-11-02		17238.00	17283.60	17080.59	17134.68	
2016-11-01		17380.54	17473.12	17339.64	17442.40	
2016-10-31		17360.89	17433.13	17327.62	17425.02	
2016-10-28		17448.25	17461.03	17406.72	17446.41	
2016-10-27		17346.39	17414.21	17278.12	17336.42	
2016-10-26		17329.03	17391.84	17295.46	17391.84	
2016-10-25		17298.63	17381.80	17298.63	17365.25	
2016-10-24		17216.56	17244.74	17162.21	17234.42	
2016-10-21		17283.75	17288.89	17151.98	17184.59	
2016-10-20		16999.36	17235.50	16992.14	17235.50	
2016-10-19		16952.91	17016.66	16938.46	16998.91	
2016-10-18		16862.31	16966.90	16844.17	16963.61	
2016-10-17		16871.84	16954.44	16821.49	16900.12	
2016-10-14		16751.04	16866.56	16727.78	16856.37	
2016-10-13		16923.82	16974.25	16739.73	16774.24	
2016-10-12		16850.73	16951.54	16839.41	16840.00	
2016-10-11		16936.31	17074.46	16931.12	17024.76	
2016-10-07		16883.12	16895.13	16820.21	16860.09	
2016-10-06		16913.60	16971.28	16888.77	16899.10	
2016-10-05		16787.89	16844.35	16728.19	16819.24	
2016-10-04		16661.51	16747.20	16637.82	16735.65	
2016-10-03		16566.03	16652.16	16554.83	16598.67	
2016-09-30		16474.45	16497.55	16407.78	16449.84	
2016-09-29		16606.30	16756.43	16584.14	16693.71	
2016-09-28		16504.99	16515.84	16385.03	16465.40	
2016-09-27		16390.91	16683.93	16285.41	16683.93	
2016-09-26		16707.45	16707.45	16514.93	16544.56	
2016-09-23		16759.84	16808.59	16725.53	16754.02	
2016-09-21		16471.85	16823.63	16399.65	16807.62	
2016-09-20		16403.22	16591.70	16403.22	16492.15	
2016-09-16		16458.74	16532.84	16415.86	16519.29	
2016-09-15		16512.42	16528.02	16359.78	16405.01	
2016-09-14		16632.06	16706.61	16585.80	16614.24	
2016-09-13		16764.65	16787.06	16658.40	16729.04	
2016-09-12		16748.36	16802.00	16601.54	16672.92	
2016-09-09		16994.37	17029.78	16902.09	16965.76	
2016-09-08		16984.00	17001.84	16836.65	16958.77	
2016-09-07		16937.38	17024.26	16903.20	17012.44	
2016-09-06		17035.03	17097.59	17022.64	17081.98	
2016-09-05		17131.52	17156.36	17009.21	17037.63	
2016-09-02		16903.78	16946.49	16848.12	16925.68	
2016-09-01		16885.16	16941.18	16864.56	16926.84	
2016-08-31		16857.83	16917.86	16836.96	16887.40	
2016-08-30		16690.98	16752.16	16677.85	16725.36	
2016-08-29		16631.06	16764.64	16616.65	16737.49	
2016-08-26		16485.55	16490.53	16320.43	16360.71	
2016-08-25		16580.15	16628.79	16520.84	16555.95	
2016-08-24		16550.21	16648.07	16544.39	16597.30	
2016-08-23		16549.82	16663.64	16452.01	16497.36	
2016-08-22		16599.26	16631.23	16540.94	16598.19	
2016-08-19		16558.38	16613.04	16452.62	16545.82	
2016-08-18		16649.91	16714.61	16481.41	16486.01	
2016-08-17		16596.26	16772.11	16596.26	16745.64	
2016-08-16		16878.66	16887.57	16596.51	16596.51	
2016-08-15		16866.89	16932.11	16844.58	16869.56	
2016-08-12		16877.18	16943.67	16818.43	16919.92	
2016-08-10		16699.08	16822.86	16657.59	16735.12	
2016-08-09		16632.41	16779.59	16630.56	16764.97	
2016-08-08		16462.29	16652.04	16455.57	16650.57	
2016-08-05		16278.99	16355.98	16230.70	16254.45	
2016-08-04		16168.34	16270.12	15921.04	16254.89	
2016-08-03		16227.28	16275.34	16056.67	16083.11	
2016-08-02		16469.68	16541.88	16391.45	16391.45	
2016-08-01		16415.31	16677.49	16319.15	16635.77	
2016-07-29		16359.68	16679.19	16174.35	16569.27	
2016-07-28		16596.15	16616.28	16450.28	16476.84	
2016-07-27		16526.06	16821.43	16526.06	16664.82	
2016-07-26		16535.81	16535.81	16323.10	16383.04	
2016-07-25		16655.81	16778.65	16612.33	16620.29	
2016-07-22		16612.90	16691.81	16566.98	16627.25	
2016-07-21		16855.18	16938.96	16740.00	16810.22	
2016-07-20		16646.92	16692.84	16554.03	16681.89	
2016-07-19		16612.09	16726.71	16514.66	16723.31	
2016-07-15		16396.12	16607.32	16396.12	16497.85	
2016-07-14		16242.20	16398.73	16229.26	16385.89	
2016-07-13		16343.00	16444.25	16196.44	16231.43	
2016-07-12		15961.30	16237.62	15956.91	16095.65	
2016-07-11		15375.94	15816.67	15375.94	15708.82	
2016-07-08		15326.84	15399.70	15106.52	15106.98	
2016-07-07		15346.81	15418.90	15241.91	15276.24	
2016-07-06		15434.46	15434.46	15167.98	15378.99	
2016-07-05		15682.16	15702.04	15602.73	15669.33	
2016-07-04		15554.04	15805.31	15553.92	15775.80	
2016-07-01		15698.02	15765.00	15635.57	15682.48	
2016-06-30		15752.71	15781.69	15575.92	15575.92	
2016-06-29		15523.35	15626.66	15398.31	15566.83	
2016-06-28		15094.71	15443.82	14987.79	15323.14	
2016-06-27		15153.08	15323.95	15061.66	15309.21	
2016-06-24		16333.87	16389.17	14864.01	14952.02	
2016-06-23		16098.61	16263.87	16057.86	16238.35	
2016-06-22		16095.81	16160.99	15980.65	16065.72	
2016-06-21		15875.81	16202.30	15770.96	16169.11	
2016-06-20		15839.06	16035.44	15835.86	15965.30	
2016-06-17		15631.79	15774.87	15582.94	15599.66	
2016-06-16		15871.22	15913.08	15395.98	15434.14	
2016-06-15		15799.07	15997.30	15752.01	15919.58	
2016-06-14		16001.19	16082.50	15762.09	15859.00	
2016-06-13		16319.11	16335.38	16019.18	16019.18	
2016-06-10		16637.51	16643.36	16496.11	16601.36	
2016-06-09		16742.03	16785.83	16587.77	16668.41	
2016-06-08		16722.49	16830.92	16581.71	16830.92	
2016-06-07		16651.05	16701.01	16536.23	16675.45	
2016-06-06		16373.32	16581.30	16322.64	16580.03	
2016-06-03		16599.51	16716.14	16554.60	16642.23	
2016-06-02		16817.26	16819.85	16525.47	16562.55	
2016-06-01		17097.22	17145.95	16908.92	16955.73	
2016-05-31		17029.46	17251.36	16988.64	17234.98	
2016-05-30		16973.72	17068.02	16910.19	17068.02	
2016-05-27		16830.50	16901.09	16792.73	16834.84	
2016-05-26		16927.69	16957.56	16743.17	16772.46	
2016-05-25		16764.35	16806.03	16731.12	16757.35	
2016-05-24		16605.04	16605.04	16471.37	16498.76	
2016-05-23		16671.28	16691.50	16417.84	16654.60	
2016-05-20		16594.99	16770.87	16548.34	16736.35	
2016-05-19		16807.46	16841.04	16590.16	16646.66	
2016-05-18		16611.40	16795.47	16513.17	16644.69	
2016-05-17		16618.95	16655.89	16509.31	16652.80	
2016-05-16		16391.92	16632.62	16391.92	16466.40	
2016-05-13		16804.17	16804.17	16400.87	16412.21	
2016-05-12		16459.69	16658.07	16374.59	16646.34	
2016-05-11		16736.72	16814.64	16536.61	16579.01	
2016-05-10		16307.50	16587.63	16229.15	16565.19	
2016-05-09		16226.57	16292.86	16159.31	16216.03	
2016-05-06		16212.67	16271.61	15989.35	16106.72	
2016-05-02		16357.10	16357.10	15975.47	16147.38	
2016-12-30		18997.68	19176.81	18991.59	19114.37	
2016-12-29		19301.04	19301.04	19092.22	19145.14	
2016-12-28		19392.11	19442.13	19364.73	19401.72	
2016-12-27		19353.43	19478.58	19352.06	19403.06	
2016-12-26		19394.41	19432.48	19385.94	19396.64	
2016-12-22		19396.85	19427.67	19327.51	19427.67	
2016-12-21		19547.28	19592.90	19375.19	19444.49	
2016-12-20		19367.84	19511.20	19356.81	19494.53	
2016-12-19		19345.84	19399.26	19307.14	19391.60	
2016-12-16		19438.39	19439.97	19360.36	19401.15	
2016-12-15		19327.70	19436.90	19192.60	19273.79	
2016-12-14		19270.01	19284.28	19184.75	19253.61	
2016-12-13		19120.76	19253.51	19060.72	19250.52	
2016-12-12		19183.82	19280.93	19054.00	19155.03	
2016-12-09		18839.98	19042.48	18821.41	18996.37	
2016-12-08		18674.19	18765.47	18614.01	18765.47	
2016-12-07		18434.54	18502.47	18410.88	18496.69	
2016-12-06		18457.20	18484.80	18318.99	18360.54	
2016-12-05		18349.92	18365.74	18227.39	18274.99	
2016-12-02		18435.55	18469.68	18315.38	18426.08	
2016-12-01		18535.24	18746.28	18469.27	18513.12	
2016-11-30		18356.03	18370.31	18280.66	18308.48	
2016-11-29		18263.63	18327.51	18258.82	18307.04	
2016-11-28		18302.58	18374.93	18222.82	18356.89	
2016-11-25		18387.59	18482.94	18288.50	18381.22	
2016-11-24		18329.78	18382.72	18310.31	18333.41	
2016-11-22		18091.05	18175.63	18050.55	18162.94	
2016-11-21		18038.09	18129.03	18007.79	18106.02	
2016-11-18		18024.21	18043.72	17967.41	17967.41	
2016-11-17		17766.61	17884.06	17764.08	17862.63	
2016-11-16		17832.51	17886.44	17807.47	17862.21	
2016-11-15		17690.22	17727.58	17605.77	17668.15	
2016-11-14		17467.49	17697.33	17455.78	17672.62	
2016-11-11		17526.61	17621.73	17333.49	17374.79	
2016-11-10		16562.86	17393.82	16560.66	17344.42	
2016-11-09		17281.95	17427.71	16111.81	16251.54	
2016-11-08		17242.70	17247.04	17130.83	17171.38	
2016-11-07		17126.03	17186.89	17056.84	17177.21	
2016-11-04		16964.50	16996.09	16801.98	16905.36	
2016-11-02		17238.00	17283.60	17080.59	17134.68	
2016-11-01		17380.54	17473.12	17339.64	17442.40	
2016-10-31		17360.89	17433.13	17327.62	17425.02	
2016-10-28		17448.25	17461.03	17406.72	17446.41	
2016-10-27		17346.39	17414.21	17278.12	17336.42	
2016-10-26		17329.03	17391.84	17295.46	17391.84	
2016-10-25		17298.63	17381.80	17298.63	17365.25	
2016-10-24		17216.56	17244.74	17162.21	17234.42	
2016-10-21		17283.75	17288.89	17151.98	17184.59	
2016-10-20		16999.36	17235.50	16992.14	17235.50	
2016-10-19		16952.91	17016.66	16938.46	16998.91	
2016-10-18		16862.31	16966.90	16844.17	16963.61	
2016-10-17		16871.84	16954.44	16821.49	16900.12	
2016-10-14		16751.04	16866.56	16727.78	16856.37	
2016-10-13		16923.82	16974.25	16739.73	16774.24	
2016-10-12		16850.73	16951.54	16839.41	16840.00	
2016-10-11		16936.31	17074.46	16931.12	17024.76	
2016-10-07		16883.12	16895.13	16820.21	16860.09	
2016-10-06		16913.60	16971.28	16888.77	16899.10	
2016-10-05		16787.89	16844.35	16728.19	16819.24	
2016-10-04		16661.51	16747.20	16637.82	16735.65	
2016-10-03		16566.03	16652.16	16554.83	16598.67	
2016-09-30		16474.45	16497.55	16407.78	16449.84	
2016-09-29		16606.30	16756.43	16584.14	16693.71	
2016-09-28		16504.99	16515.84	16385.03	16465.40	
2016-09-27		16390.91	16683.93	16285.41	16683.93	
2016-09-26		16707.45	16707.45	16514.93	16544.56	
2016-09-23		16759.84	16808.59	16725.53	16754.02	
2016-09-21		16471.85	16823.63	16399.65	16807.62	
2016-09-20		16403.22	16591.70	16403.22	16492.15	
2016-09-16		16458.74	16532.84	16415.86	16519.29	
2016-09-15		16512.42	16528.02	16359.78	16405.01	
2016-09-14		16632.06	16706.61	16585.80	16614.24	
2016-09-13		16764.65	16787.06	16658.40	16729.04	
2016-09-12		16748.36	16802.00	16601.54	16672.92	
2016-09-09		16994.37	17029.78	16902.09	16965.76	
2016-09-08		16984.00	17001.84	16836.65	16958.77	
2016-09-07		16937.38	17024.26	16903.20	17012.44	
2016-09-06		17035.03	17097.59	17022.64	17081.98	
2016-09-05		17131.52	17156.36	17009.21	17037.63	
2016-09-02		16903.78	16946.49	16848.12	16925.68	
2016-09-01		16885.16	16941.18	16864.56	16926.84	
2016-08-31		16857.83	16917.86	16836.96	16887.40	
2016-08-30		16690.98	16752.16	16677.85	16725.36	
2016-08-29		16631.06	16764.64	16616.65	16737.49	
2016-08-26		16485.55	16490.53	16320.43	16360.71	
2016-08-25		16580.15	16628.79	16520.84	16555.95	
2016-08-24		16550.21	16648.07	16544.39	16597.30	
2016-08-23		16549.82	16663.64	16452.01	16497.36	
2016-08-22		16599.26	16631.23	16540.94	16598.19	
2016-08-19		16558.38	16613.04	16452.62	16545.82	
2016-08-18		16649.91	16714.61	16481.41	16486.01	
2016-08-17		16596.26	16772.11	16596.26	16745.64	
2016-08-16		16878.66	16887.57	16596.51	16596.51	
2016-08-15		16866.89	16932.11	16844.58	16869.56	
2016-08-12		16877.18	16943.67	16818.43	16919.92	
2016-08-10		16699.08	16822.86	16657.59	16735.12	
2016-08-09		16632.41	16779.59	16630.56	16764.97	
2016-08-08		16462.29	16652.04	16455.57	16650.57	
2016-08-05		16278.99	16355.98	16230.70	16254.45	
2016-08-04		16168.34	16270.12	15921.04	16254.89	
2016-08-03		16227.28	16275.34	16056.67	16083.11	
2016-08-02		16469.68	16541.88	16391.45	16391.45	
2016-08-01		16415.31	16677.49	16319.15	16635.77	
2016-07-29		16359.68	16679.19	16174.35	16569.27	
2016-07-28		16596.15	16616.28	16450.28	16476.84	
2016-07-27		16526.06	16821.43	16526.06	16664.82	
2016-07-26		16535.81	16535.81	16323.10	16383.04	
2016-07-25		16655.81	16778.65	16612.33	16620.29	
2016-07-22		16612.90	16691.81	16566.98	16627.25	
2016-07-21		16855.18	16938.96	16740.00	16810.22	
2016-07-20		16646.92	16692.84	16554.03	16681.89	
2016-07-19		16612.09	16726.71	16514.66	16723.31	
2016-07-15		16396.12	16607.32	16396.12	16497.85	
2016-07-14		16242.20	16398.73	16229.26	16385.89	
2016-07-13		16343.00	16444.25	16196.44	16231.43	
2016-07-12		15961.30	16237.62	15956.91	16095.65	
2016-07-11		15375.94	15816.67	15375.94	15708.82	
2016-07-08		15326.84	15399.70	15106.52	15106.98	
2016-07-07		15346.81	15418.90	15241.91	15276.24	
2016-07-06		15434.46	15434.46	15167.98	15378.99	
2016-07-05		15682.16	15702.04	15602.73	15669.33	
2016-07-04		15554.04	15805.31	15553.92	15775.80	
2016-07-01		15698.02	15765.00	15635.57	15682.48	
2016-06-30		15752.71	15781.69	15575.92	15575.92	
2016-06-29		15523.35	15626.66	15398.31	15566.83	
2016-06-28		15094.71	15443.82	14987.79	15323.14	
2016-06-27		15153.08	15323.95	15061.66	15309.21	
2016-06-24		16333.87	16389.17	14864.01	14952.02	
2016-06-23		16098.61	16263.87	16057.86	16238.35	
2016-06-22		16095.81	16160.99	15980.65	16065.72	
2016-06-21		15875.81	16202.30	15770.96	16169.11	
2016-06-20		15839.06	16035.44	15835.86	15965.30	
2016-06-17		15631.79	15774.87	15582.94	15599.66	
2016-06-16		15871.22	15913.08	15395.98	15434.14	
2016-06-15		15799.07	15997.30	15752.01	15919.58	
2016-06-14		16001.19	16082.50	15762.09	15859.00	
2016-06-13		16319.11	16335.38	16019.18	16019.18	
2016-06-10		16637.51	16643.36	16496.11	16601.36	
2016-06-09		16742.03	16785.83	16587.77	16668.41	
2016-06-08		16722.49	16830.92	16581.71	16830.92	
2016-06-07		16651.05	16701.01	16536.23	16675.45	
2016-06-06		16373.32	16581.30	16322.64	16580.03	
2016-06-03		16599.51	16716.14	16554.60	16642.23	
2016-06-02		16817.26	16819.85	16525.47	16562.55	
2016-06-01		17097.22	17145.95	16908.92	16955.73	
2016-05-31		17029.46	17251.36	16988.64	17234.98	
2016-05-30		16973.72	17068.02	16910.19	17068.02	
2016-05-27		16830.50	16901.09	16792.73	16834.84	
2016-05-26		16927.69	16957.56	16743.17	16772.46	
2016-05-25		16764.35	16806.03	16731.12	16757.35	
2016-05-24		16605.04	16605.04	16471.37	16498.76	
2016-05-23		16671.28	16691.50	16417.84	16654.60	
2016-05-20		16594.99	16770.87	16548.34	16736.35	
2016-05-19		16807.46	16841.04	16590.16	16646.66	
2016-05-18		16611.40	16795.47	16513.17	16644.69	
2016-05-17		16618.95	16655.89	16509.31	16652.80	
2016-05-16		16391.92	16632.62	16391.92	16466.40	
2016-05-13		16804.17	16804.17	16400.87	16412.21	
2016-05-12		16459.69	16658.07	16374.59	16646.34	
2016-05-11		16736.72	16814.64	16536.61	16579.01	
2016-05-10		16307.50	16587.63	16229.15	16565.19	
2016-05-09		16226.57	16292.86	16159.31	16216.03	
2016-05-06		16212.67	16271.61	15989.35	16106.72	
2016-05-02		16357.10	16357.10	15975.47	16147.38	
2016-04-28		17438.99	17572.27	16652.74	16666.05	
2016-04-27		17369.68	17417.54	17230.23	17290.49	
2016-04-26		17358.56	17426.02	17200.50	17353.28	
2016-04-25		17613.56	17613.56	17403.87	17439.30	
2016-04-22		17220.47	17572.49	17192.39	17572.49	
2016-04-21		17187.27	17381.70	17144.53	17363.62	
2016-04-20		17053.83	17099.36	16870.73	16906.54	
